avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
82,,179,0.0,0.0,,193,4917647,0.902,94,,282,,180,200,2015-08-12 06:41:00,0,479.0,3651,0.0,0.0,2670.568,,2670.568,59.7
91,,,7.875,7.875,10.793,189,4917647,,100,,,10.793,,,2015-03-17 18:13:50,1,466.0,2726,2.0,14258.49,1810.653,0.0,1810.653,
87,,202,10.176,10.176,12.242,324,4917647,0.896,108,,329,12.242,217,242,2017-06-01 17:55:38,0,723.0,5260,0.0,36634.55,3600.041,,3600.041,79.7
77,,,7.238,7.238,14.608,194,4917647,,127,,,14.608,,,2015-12-20 10:32:53,734,2966.0,12783,744.0,83183.67,12394.7,0.0,11492.345,
30,,,0.0,0.0,,189,4917647,,34,,,,,,2015-06-28 06:40:18,0,0.0,1229,0.0,0.0,2416.929,,2416.929,
89,,,8.873,8.873,10.476,189,4917647,,98,,,10.476,,,2015-03-06 14:10:51,4,998.0,4077,2.0,24412.36,2751.327,0.0,2751.327,
77,,,8.191,8.191,11.332,189,4917647,,104,,,11.332,,,2014-07-10 18:39:56,0,669.0,3106,1.0,19709.86,2406.355,0.0,2406.355,
79,,,7.94,7.94,14.055,324,4917647,,113,,,14.055,,,2017-06-18 12:15:42,635,3663.0,14953,617.0,103257.56,14080.809,0.0,13005.351,
,,,8.114,8.114,16.81,242,4917647,,,,,16.81,,,2016-12-26 10:39:41,472,1623.0,,494.0,44304.62,5644.534,0.0,5459.961,
71,,,6.604,6.604,16.124,193,4917647,,115,,,16.124,,,2015-08-08 15:37:35,1579,3693.0,14441,1560.0,90162.14,13660.602,0.0,13653.558,
80,,,8.542,8.542,11.807,189,4917647,,99,,,11.807,,,2015-01-22 22:03:01,0,1141.0,4792,2.0,30777.26,3603.176,0.0,3603.176,
88,,184,9.986,9.986,12.475,201,4917647,0.987,118,,346,12.475,197,200,2016-01-10 12:47:08,1,662.0,5316,0.0,36062.4,3611.13,,3611.13,96.9
71,,,6.335,6.335,15.88,189,4917647,,135,,,15.88,,,2015-02-15 13:49:48,750,2207.0,9707,784.0,61878.25,11305.473,0.0,9767.74,
85,147,170,9.622,9.622,11.766,202,4917647,0.962,115,169,278,11.766,192,200,2016-05-13 12:34:24,1,706.0,5943,0.0,40155.13,4173.087,,4173.087,106.5
,,,6.668,6.668,17.392,202,4917647,,,,,17.392,,,2016-02-21 18:35:13,756,1655.0,,741.0,42565.89,9407.753,,6383.21,
72,,,6.86,6.86,14.576,194,4917647,,101,,,14.576,,,2015-12-30 11:05:24,967,2519.0,9977,980.0,64653.21,11283.93,0.0,9424.126,
89,,194,10.24,10.24,11.393,202,4917647,0.507,109,,257,11.393,203,400,2016-06-17 12:34:33,0,349.0,2695,0.0,18435.41,1800.317,,1800.317,12.7
70,,,7.361,7.361,16.407,202,4917647,,101,,,16.407,,,2016-08-21 09:37:51,1067,3142.0,11858,1084.0,83217.05,11653.122,0.0,11305.251,
78,,,9.339,9.339,14.368,189,4917647,,118,,,14.368,,,2014-04-13 18:19:14,93,1531.0,6097,164.0,45796.37,605334.82,0.0,4903.523,
85,,,8.229,8.229,9.9,193,4917647,,96,,,9.9,,,2015-09-10 12:59:13,6,693.0,3385,1.0,19777.52,2403.334,0.0,2403.334,
78,,,7.823,7.823,14.173,242,4917647,,110,,,14.173,,,2018-03-26 12:18:24,260,1127.0,4419,264.0,30049.26,4269.34,,3841.141,
78,,,10.047,10.047,13.5,189,4917647,,92,,,13.5,,,2014-04-20 18:36:16,0,1169.0,4138,2.0,32505.32,3372.824,0.0,3235.313,
69,,,7.28,7.28,15.592,189,4917647,,106,,,15.592,,,2014-06-22 19:13:37,573,1836.0,7262,583.0,48272.09,6640.335,0.0,6630.336,
84,,174,9.748,9.748,11.701,202,4917647,0.969,105,,276,11.701,194,200,2016-03-10 07:55:28,0,683.0,5553,1.0,38276.5,3934.448,,3926.451,101.6
77,,,7.416,7.416,14.35,242,4917647,,217,,,14.35,,,2016-12-18 13:43:38,905,2757.0,11345,937.0,74745.78,11214.059,0.0,10078.909,
90,,,8.276,8.276,9.598,202,4917647,,104,,,9.598,,,2016-03-23 15:42:10,0,675.0,4034,2.0,22383.62,2704.552,0.0,2704.552,
